quote_date,region,desc,price
2022-05-01,East Anglia,Materials for maintenance and repair,1687.79
2022-05-01,East Anglia,Meat,3072.5
2022-05-01,East Anglia,Medical services and paramedical services,1550.0
2022-05-01,East Anglia,"Milk, cheese and eggs",1043.81
2022-05-01,East Anglia,"Mineral waters, soft drinks and juices",473.63
2022-05-01,East Anglia,"Misc. printed matter, stationery, drawing materials",714.9300000000001
2022-05-01,East Anglia,Motorcycles and bicycles,15637.85
2022-05-01,East Anglia,Non-durable household goods,538.59
2022-05-01,East Anglia,Oils and fats,282.23
2022-05-01,East Anglia,Other clothing and clothing accessories,2276.5499999999997
2022-05-01,East Anglia,Other medical and therapeutic equipment,2214.23
2022-05-01,East Anglia,Other personal effects,6510.549999999999
2022-05-01,East Anglia,Other services,4964.94
2022-05-01,East Anglia,Other services nec,173098.53999999998
2022-05-01,East Anglia,Passenger transport by road,6367.95
2022-05-01,East Anglia,"Pets, related products and services",1903.8600000000001
2022-05-01,East Anglia,Pharmaceutical products,376.47
2022-05-01,East Anglia,"Photographic, cinematographic and optical equipment",1346.31
2022-05-01,East Anglia,Reception and reproduction of sound and pictures,26105.06
2022-05-01,East Anglia,Recording media,348.0
2022-05-01,East Anglia,Recreational and sporting services,5585.610000000001
2022-05-01,East Anglia,Repair of audio-visual equipment & related products,563.99
2022-05-01,East Anglia,Repair of household appliances,714.6
2022-05-01,East Anglia,Restaurants & cafes,4980.04
2022-05-01,East Anglia,Services for maintenance and repair,2980.1
2022-05-01,East Anglia,Social protection,28902.32
2022-05-01,East Anglia,Solid Fuels,417.9
2022-05-01,East Anglia,Spare parts and accessories,1926.75
2022-05-01,East Anglia,Spirits,1755.5800000000002
2022-05-01,East Anglia,"Sugar, jam, syrups, chocolate and confectionery",339.625
2022-05-01,East Anglia,Telephone and telefax equipment and services,2832.42
2022-05-01,East Anglia,Tobacco,2331.4
2022-05-01,East Anglia,Tools and equipment for house and garden,6312.16
2022-05-01,East Anglia,Vegetables including potatoes and tubers,1535.49
2022-05-01,East Anglia,Wine,1424.42
2022-05-01,East Midlands,Accommodation services,1636.0
2022-05-01,East Midlands,Appliances and products for personal care,5466.33
2022-05-01,East Midlands,Beer,448.14
2022-05-01,East Midlands,Books,781.45
2022-05-01,East Midlands,Bread and cereals,534.73
2022-05-01,East Midlands,Canteens,74.1
2022-05-01,East Midlands,Carpets and other floor coverings,4280.79
2022-05-01,East Midlands,"Cleaning, repair and hire of clothing",536.99
2022-05-01,East Midlands,"Coffee, tea and cocoa",286.47
2022-05-01,East Midlands,Cultural services,147.2
2022-05-01,East Midlands,Dental services,464.0
2022-05-01,East Midlands,Domestic services and household services,238.2
2022-05-01,East Midlands,Equipment for sport and open-air recreation,2827.83
2022-05-01,East Midlands,Fish,651.5600000000001
2022-05-01,East Midlands,Food products nec,640.7099999999999
2022-05-01,East Midlands,Footwear including repairs,21012.06
2022-05-01,East Midlands,Fruit,1953.23
2022-05-01,East Midlands,Fuels and lubricants,141.6
2022-05-01,East Midlands,Furniture and furnishings,183021.93
2022-05-01,East Midlands,"Games, toys and hobbies",3388.7400000000002
2022-05-01,East Midlands,"Gardens, plants and flowers",377.83
2022-05-01,East Midlands,Garments,41011.29
2022-05-01,East Midlands,"Glassware, tableware and household utensils",3464.72
2022-05-01,East Midlands,Hairdressing and personal grooming establishments,2437.75
2022-05-01,East Midlands,Hospital services,17030.52
2022-05-01,East Midlands,Household textiles,7222.6
2022-05-01,East Midlands,"Jewellery, clocks and watches",45501.270000000004
2022-05-01,East Midlands,Liquid Fuels,3953.9900000000002
2022-05-01,East Midlands,Maintenance and repairs,6788.13
2022-05-01,East Midlands,Major appliances and small electric goods,50501.49
2022-05-01,East Midlands,Major durables for in/outdoor recreation,1463.69
2022-05-01,East Midlands,Materials for maintenance and repair,1419.49
2022-05-01,East Midlands,Meat,2517.58
2022-05-01,East Midlands,Medical services and paramedical services,956.0
2022-05-01,East Midlands,"Milk, cheese and eggs",889.39
2022-05-01,East Midlands,"Mineral waters, soft drinks and juices",399.15
2022-05-01,East Midlands,"Misc. printed matter, stationery, drawing materials",587.25
2022-05-01,East Midlands,Motorcycles and bicycles,9338.97
2022-05-01,East Midlands,Non-durable household goods,439.62
2022-05-01,East Midlands,Oils and fats,233.25
2022-05-01,East Midlands,Other clothing and clothing accessories,1967.77
2022-05-01,East Midlands,Other medical and therapeutic equipment,2015.8999999999999
2022-05-01,East Midlands,Other personal effects,7275.91
2022-05-01,East Midlands,Other services,3569.37
2022-05-01,East Midlands,Other services nec,131275.04
2022-05-01,East Midlands,Passenger transport by road,2138.17
2022-05-01,East Midlands,"Pets, related products and services",1334.52
2022-05-01,East Midlands,Pharmaceutical products,336.83000000000004
2022-05-01,East Midlands,"Photographic, cinematographic and optical equipment",1346.31
2022-05-01,East Midlands,Reception and reproduction of sound and pictures,23946.66
2022-05-01,East Midlands,Recording media,264.94
2022-05-01,East Midlands,Recreational and sporting services,2771.55
2022-05-01,East Midlands,Repair of audio-visual equipment & related products,707.45
2022-05-01,East Midlands,Repair of household appliances,619.8
2022-05-01,East Midlands,Restaurants & cafes,3906.94
2022-05-01,East Midlands,Services for maintenance and repair,2120.71
2022-05-01,East Midlands,Social protection,17376.64
2022-05-01,East Midlands,Solid Fuels,250.1
2022-05-01,East Midlands,Spare parts and accessories,1435.19
2022-05-01,East Midlands,Spirits,1528.21
2022-05-01,East Midlands,"Sugar, jam, syrups, chocolate and confectionery",269.525
2022-05-01,East Midlands,Telephone and telefax equipment and services,2290.5
2022-05-01,East Midlands,Tobacco,1592.6
2022-05-01,East Midlands,Tools and equipment for house and garden,5530.3
2022-05-01,East Midlands,Vegetables including potatoes and tubers,1238.6
2022-05-01,East Midlands,Wine,1265.03
2022-05-01,London,Accommodation services,3928.66
2022-05-01,London,Appliances and products for personal care,7669.04
2022-05-01,London,Beer,599.5600000000001
2022-05-01,London,Books,1377.42
2022-05-01,London,Bread and cereals,841.91
2022-05-01,London,Canteens,143.53
2022-05-01,London,Carpets and other floor coverings,9711.859999999999
2022-05-01,London,"Cleaning, repair and hire of clothing",1311.8899999999999
2022-05-01,London,"Coffee, tea and cocoa",389.8
2022-05-01,London,Cultural services,1799.81
2022-05-01,London,Dental services,1290.3
2022-05-01,London,Domestic services and household services,6676.6
2022-05-01,London,Equipment for sport and open-air recreation,4957.28
2022-05-01,London,Fish,936.27
2022-05-01,London,Food products nec,1056.18
2022-05-01,London,Footwear including repairs,48166.380000000005
2022-05-01,London,Fruit,3637.25
2022-05-01,London,Fuels and lubricants,186.16
2022-05-01,London,Furniture and furnishings,290499.06
2022-05-01,London,"Games, toys and hobbies",6121.5199999999995
2022-05-01,London,"Gardens, plants and flowers",520.48
2022-05-01,London,Garments,86769.03
2022-05-01,London,"Glassware, tableware and household utensils",6490.74
2022-05-01,London,Hairdressing and personal grooming establishments,5125.45
2022-05-01,London,Hospital services,51144.0
2022-05-01,London,Household textiles,12508.62
2022-05-01,London,"Jewellery, clocks and watches",72312.79000000001
2022-05-01,London,Liquid Fuels,6865.95
2022-05-01,London,Maintenance and repairs,9412.25
2022-05-01,London,Major appliances and small electric goods,62289.520000000004
2022-05-01,London,Major durables for in/outdoor recreation,2563.02
2022-05-01,London,Materials for maintenance and repair,2039.19
2022-05-01,London,Meat,4036.36
2022-05-01,London,Medical services and paramedical services,2954.0
2022-05-01,London,"Milk, cheese and eggs",1452.22
2022-05-01,London,"Mineral waters, soft drinks and juices",627.05
2022-05-01,London,"Misc. printed matter, stationery, drawing materials",907.54
2022-05-01,London,Motorcycles and bicycles,11731.91
2022-05-01,London,Non-durable household goods,700.67
2022-05-01,London,Oils and fats,355.17
2022-05-01,London,Other clothing and clothing accessories,3218.17
2022-05-01,London,Other medical and therapeutic equipment,3529.23
2022-05-01,London,Other personal effects,9929.93
2022-05-01,London,Other services,7225.34
2022-05-01,London,Other services nec,283628.56
2022-05-01,London,Passenger transport by road,12765.75
2022-05-01,London,"Pets, related products and services",2531.27
2022-05-01,London,Pharmaceutical products,524.6500000000001
2022-05-01,London,"Photographic, cinematographic and optical equipment",1346.31
2022-05-01,London,Reception and reproduction of sound and pictures,30488.62
2022-05-01,London,Recording media,315.71000000000004
2022-05-01,London,Recreational and sporting services,14379.570000000002
2022-05-01,London,Repair of audio-visual equipment & related products,904.99
2022-05-01,London,Repair of household appliances,902.08
2022-05-01,London,Restaurants & cafes,7755.07
2022-05-01,London,Services for maintenance and repair,4312.6
2022-05-01,London,Social protection,36741.64
2022-05-01,London,Solid Fuels,392.5
2022-05-01,London,Spare parts and accessories,1972.69
2022-05-01,London,Spirits,2605.31
2022-05-01,London,"Sugar, jam, syrups, chocolate and confectionery",403.34499999999997
2022-05-01,London,Telephone and telefax equipment and services,3334.34
2022-05-01,London,Tobacco,2701.44
2022-05-01,London,Tools and equipment for house and garden,7554.82
2022-05-01,London,Vegetables including potatoes and tubers,2120.4
2022-05-01,London,Wine,2222.93
2022-05-01,North,Accommodation services,664.9
2022-05-01,North,Appliances and products for personal care,5027.62
2022-05-01,North,Beer,403.93
2022-05-01,North,Books,615.31
2022-05-01,North,Bread and cereals,424.9
2022-05-01,North,Canteens,67.42
2022-05-01,North,Carpets and other floor coverings,2968.02
2022-05-01,North,"Cleaning, repair and hire of clothing",530.8499999999999
2022-05-01,North,"Coffee, tea and cocoa",263.39
2022-05-01,North,Cultural services,84.85
2022-05-01,North,Dental services,233.0
2022-05-01,North,Domestic services and household services,389.9
2022-05-01,North,Equipment for sport and open-air recreation,1964.66
2022-05-01,North,Fish,552.03
2022-05-01,North,Food products nec,539.7
2022-05-01,North,Footwear including repairs,14553.24
2022-05-01,North,Fruit,1241.99
2022-05-01,North,Fuels and lubricants,64.38
2022-05-01,North,Furniture and furnishings,84090.6
2022-05-01,North,"Games, toys and hobbies",2984.97
2022-05-01,North,"Gardens, plants and flowers",264.1
2022-05-01,North,Garments,29264.33
2022-05-01,North,"Glassware, tableware and household utensils",2611.88
2022-05-01,North,Hairdressing and personal grooming establishments,1347.35
2022-05-01,North,Hospital services,9687.08
2022-05-01,North,Household textiles,6465.32
2022-05-01,North,"Jewellery, clocks and watches",30631.76
2022-05-01,North,Liquid Fuels,5043.47
2022-05-01,North,Maintenance and repairs,1908.73
2022-05-01,North,Major appliances and small electric goods,37292.61
2022-05-01,North,Major durables for in/outdoor recreation,726.62
2022-05-01,North,Materials for maintenance and repair,901.53
2022-05-01,North,Meat,1586.81
2022-05-01,North,Medical services and paramedical services,630.0
